Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,sqf,mthly rent,Restaurant Type,Location Type,Restaurant Status
25,1,3,10,31,10,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,582348.5,582348.5,0,0,23855,148,18900,1,1,1
26,5,1,2,1,4,2019,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,22652970,1973922,14923037,5756011,15156,6000,75000,5,4,1
27,4,1,3,1,5,2019,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,16831064,16566243,0,264821,217074,1100,112000,4,2,1
28,4,2,6,1,5,2019,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,19195397,19195060,19,318,280671,1800,63000,4,2,1
29,6,3,13,1,6,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,36197890.28,22922084,8170192.89,5105613.39,167417,3500,106050,6,1,1
30,4,2,9,1,7,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,179167.1,150026.8,7009,22131.3,2395,500,56000,4,1,0
31,2,5,19,1,6,2019,0,0,0,0,0,0,0,0,0,0,0,158,1785,4262,6054,7609,11002,14636,16180,14104,9460,7475,1849280,1299847,0,549433,8033,900,40000,2,2,1
32,2,3,13,1,7,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2513997.02,1206982.6,1159050.62,147963.8,7846,3000,60000,2,1,0
33,2,5,19,1,8,2019,0,0,0,0,0,0,0,0,0,0,0,158,1785,4262,6054,7609,11002,14636,16180,14104,9460,7475,4372538.18,613058.39,0,3759479.79,83059,800,35000,2,3,1
34,5,2,7,1,8,2018,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,19457837.2,15277458.2,3493456.6,686922.4,183378,3074,128000,5,1,0
